
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000735                       # Number of seconds simulated (Second)
simTicks                                    734623000                       # Number of ticks simulated (Tick)
finalTick                                   734623000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.46                       # Real time elapsed on the host (Second)
hostTickRate                                113783840                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     660992                       # Number of bytes of host memory used (Byte)
simInsts                                      1206170                       # Number of instructions simulated (Count)
simOps                                        2712626                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   186816                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     420140                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           734624                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.609055                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.641888                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2755496                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      168                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2738786                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    228                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                43032                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             77775                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  96                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              701663                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.903278                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.535383                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    155760     22.20%     22.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     16921      2.41%     24.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     14707      2.10%     26.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     17804      2.54%     29.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    203263     28.97%     58.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     76753     10.94%     69.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    140889     20.08%     89.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      7640      1.09%     90.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     67926      9.68%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                701663                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   10050     13.45%     13.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     13.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     13.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     13.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     13.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     13.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     13.45% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     13.45% # attempts to use FU when none available (Count)
